"STATION","NAME","DATE","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT06","WT11"
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-01","52","24","33",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-02","50","29","32",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-03","42","26","28",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-04","40","20","26",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-05","45","26","31",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-06","42","22","25",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-08","34","25","30",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-09","32","22","22",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-11","37","20","28",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-12","35","24","29",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-13","36","25","27",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-15","34","22","22",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-16","42","22","36",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-17","40","24","31",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-18","33","25","27",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-19","38","27","37",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-20","53","33","35",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-21","45","31","33",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-22","38","16","17",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-23","28","12","24",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-24","31","10","13",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-25","33","13","29",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-26","47","25","35",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-27","36","30","34",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-28","39","26","29",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-29","38","25","32",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-30","40","20","25",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-01-31","47","25","28",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-01","33","26","29",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-02","37","27","35",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-03","52","27","29",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-04","37","23","25",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-05","43",,"34",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-06","44","23","37",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-07","49","26","30",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-08","53","30","38",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-09","40","19","23",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-10","36","21","25",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-11","37","14","20",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-12","46","20","30",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-13","48","27","45",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-14","56","34","49",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-15","69","30","33",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-16","49","25","35",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-17","60","35","47",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-18","73","46","55",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-19","78","48","50",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-20","58","30","46",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-21","50","40","44",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-22","45","24","26",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-23","38","20","27",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-24","50","25","34",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-25","54","33","49",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-26","52","35","40",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-02-27","50","34","40",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-01","73","33","35",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-02","47","31","39",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-03","66","26","28",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-04","44","26","31",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-05","53","30","48",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-06","66","48","57","0.0",,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-07","62","36","39",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-08","54","27","38",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-09","51","30","37",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-10","51","37","51",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-12","50","39","42",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-13","60","41","43",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-14","63","31","40",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-15","57","31","36",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-16","55","33","44",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-17","61","40","47",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-18","69","46","53",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-19","82","52","55",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-20","65","35","42",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-21","58","37","43",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-22","74","43","53",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-23","67","44","46",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-24","53","39","41",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-25","48","27","31",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-26","55","30","32",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-27","46","28","32",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-28","50","26","33",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-29","52","31","37",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-30","55","35","43",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-03-31","51","36","39",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-01","44","36","40",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-02","51","38","40",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-03","52","38","48",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-04","62","44","56",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-05","82","55","61",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-06","63","35","41",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-07","68","40","47",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-08","72","45","47",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-09","56","42","44",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-10","53","44","51",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-11","69","50","61",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-12","86","60","67",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-13","67","48","51",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-14","60","43","50",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-15","75","46","52",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-16","70","52","53",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-17","64","50","50",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-18","70","48","54",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-19","79","52","63",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-20","71","51","56",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-21","86","53","53",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-22","69","45","47",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-23","47","43","46",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-24","75","46","65",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-25","81","60","67",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-26","82","65","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-27","87","69","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-29","81","49","64",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-04-30","71","49","53",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-01","73","49","58",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-02","65","51","59",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-03","81","57","69",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-04","82","47","49",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-05","65","46","51",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-06","72","44","55",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-07","75","51","61",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-08","77","49","59",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-09","79","50","61",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-10","78","47","57",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-11","79","55","59",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-12","80","53","61",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-13","80","58","63",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-14","68","62","62",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-15","69","61","67",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-16","81","59","65",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-17","82","60","63",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-18","77","63","65",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-19","77","57","62",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-20","75","54","60",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-21","75","55","65",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-22","87","60","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-23","86","66","69",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-24","83","66","74",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-25","84","65","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-26","86","67","74",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-27","93","60","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-28","89","66","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-29","84","68","74",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-30","89","72","81",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-05-31","94","72","85",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-01","99","76","80",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-02","98","67","77",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-03","88","59","66",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-04","81","60","67",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-05","87","59","68",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-06","86","63","70",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-07","88","66","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-08","89","68","81",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-09","99","76","86",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-10","102","70","77",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-11","96","76","78",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-12","94","71","77",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-13","96","64","66",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-14","82","64","66",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-15","78","56","64",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-16","84","61","68",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-17","84","64","69",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-18","90","68","80",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-19","91","62","77",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-20","84","66","68",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-21","81","65","71",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-22","92","70","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-23","92","72","80",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-24","88","72","78",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-25","91","71","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-26","88","65","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-27","90","69","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-28","81","69","74",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-29","94","73","78",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-06-30","88","62","72",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-01","90","66","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-02","92","62","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-03","98","70","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-04","94","70","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-05","86","72","78",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-06","92","73","80",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-07","90","72","77",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-08","95","72","79",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-09","90","70","75",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-10","92","70","76",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-11","93","74","81",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-12","95","74","83",,,,,,
"USC00186350","NATIONAL ARBORETUM DC, MD US","2011-07-13","96","76","85",,,,,,
