"Group.1","x"
"1/1/2011",0.0025
"1/1/2012",0
"1/1/2013",0.03
"1/1/2014",0
"1/1/2015",0
"1/1/2016",0
"1/1/2017",0.0175
"1/1/2018",0
"1/1/2019",0.325
"1/1/2020",0
"1/10/2011",0
"1/10/2012",0
"1/10/2013",0
"1/10/2014",0.69
"1/10/2015",0
"1/10/2016",0.7225
"1/10/2017",0
"1/10/2018",0
"1/10/2019",0
"1/10/2020",0
"1/11/2011",0.0225
"1/11/2012",0.0675
"1/11/2013",0.3
"1/11/2014",0.855
"1/11/2015",0
"1/11/2016",0
"1/11/2017",0.19
"1/11/2018",0
"1/11/2019",0
"1/11/2020",0.0075
"1/12/2011",0.25
"1/12/2012",0.975
"1/12/2013",0.0175
"1/12/2014",0
"1/12/2015",0.7025
"1/12/2016",0.0075
"1/12/2017",0.2575
"1/12/2018",0.0675
"1/12/2019",0.0025
"1/12/2020",0.0725
"1/13/2011",0.0025
"1/13/2012",0.19
"1/13/2013",0.03
"1/13/2014",0
"1/13/2015",0.2375
"1/13/2016",0
"1/13/2017",0
"1/13/2018",0.5775
"1/13/2019",0.6675
"1/13/2020",0
"1/14/2011",0
"1/14/2012",0
"1/14/2013",0.1
"1/14/2014",0.54
"1/14/2015",0.0475
"1/14/2016",0
"1/14/2017",0.2725
"1/14/2018",0
"1/14/2019",0.1725
"1/14/2020",0.0825
"1/15/2011",0
"1/15/2012",0
"1/15/2013",0.5575
"1/15/2014",0.0025
"1/15/2015",0
"1/15/2016",0
"1/15/2017",0.145
"1/15/2018",0
"1/15/2019",0
"1/15/2020",0.0075
"1/16/2011",0.0075
"1/16/2012",0
"1/16/2013",1.3825
"1/16/2014",0.12
"1/16/2015",0
"1/16/2016",0.5125
"1/16/2017",0.0025
"1/16/2018",0
"1/16/2019",0
"1/16/2020",0.0025
"1/17/2011",0.0025
"1/17/2012",0.4875
"1/17/2013",0.375
"1/17/2014",0
"1/17/2015",0
"1/17/2016",0.025
"1/17/2017",0.245
"1/17/2018",0.0375
"1/17/2019",0
"1/17/2020",0
"1/18/2011",0.365
"1/18/2012",0
"1/18/2013",0.0675
"1/18/2014",0.04
"1/18/2015",0.2575
"1/18/2016",0
"1/18/2017",0.01
"1/18/2018",0
"1/18/2019",0.0925
"1/18/2020",0.135
"1/19/2011",0.25
"1/19/2012",0
"1/19/2013",0
"1/19/2014",0
"1/19/2015",0
"1/19/2016",0
"1/19/2017",0.005
"1/19/2018",0
"1/19/2019",0.035
"1/19/2020",0.06
"1/2/2011",0.2975
"1/2/2012",0.0375
"1/2/2013",0.0025
"1/2/2014",0.0325
"1/2/2015",0
"1/2/2016",0
"1/2/2017",0.4025
"1/2/2018",0
"1/2/2019",0.0025
"1/2/2020",0
"1/20/2011",0.005
"1/20/2012",0.0025
"1/20/2013",0
"1/20/2014",0
"1/20/2015",0.0025
"1/20/2016",0
"1/20/2017",0.0225
"1/20/2018",0
"1/20/2019",0.975
"1/20/2020",0
"1/21/2011",0.0225
"1/21/2012",0.6275
"1/21/2013",0
"1/21/2014",0.43
"1/21/2015",0.27
"1/21/2016",0.0325
"1/21/2017",0.0075
"1/21/2018",0
"1/21/2019",0.0025
"1/21/2020",0
"1/22/2011",0
"1/22/2012",0.015
"1/22/2013",0
"1/22/2014",0.05
"1/22/2015",0.01
"1/22/2016",0.115
"1/22/2017",0.155
"1/22/2018",0
"1/22/2019",0
"1/22/2020",0
"1/23/2011",0
"1/23/2012",0.1375
"1/23/2013",0
"1/23/2014",0.01
"1/23/2015",0
"1/23/2016",2.96
"1/23/2017",0.6075
"1/23/2018",0.5975
"1/23/2019",0.005
"1/23/2020",0
"1/24/2011",0
"1/24/2012",0.0075
"1/24/2013",0.0725
"1/24/2014",0
"1/24/2015",1.6975
"1/24/2016",0.205
"1/24/2017",0.3675
"1/24/2018",0
"1/24/2019",0.305
"1/24/2020",0.01
"1/25/2011",0
"1/25/2012",0
"1/25/2013",0.0175
"1/25/2014",0.0025
"1/25/2015",0
"1/25/2016",0.005
"1/25/2017",0
"1/25/2018",0
"1/25/2019",0
"1/25/2020",0.4925
"1/26/2011",0.42
"1/26/2012",0.025
"1/26/2013",0.0325
"1/26/2014",0.0125
"1/26/2015",0.2325
"1/26/2016",0.0775
"1/26/2017",0.025
"1/26/2018",0
"1/26/2019",0
"1/26/2020",0
"1/27/2011",0.42
"1/27/2012",0.34
"1/27/2013",0.0025
"1/27/2014",0
"1/27/2015",0.105
"1/27/2016",0.02
"1/27/2017",0.0025
"1/27/2018",0
"1/27/2019",0
"1/27/2020",0
"1/28/2011",0.1125
"1/28/2012",0
"1/28/2013",0.1325
"1/28/2014",0
"1/28/2015",0
"1/28/2016",0.0025
"1/28/2017",0
"1/28/2018",0.3275
"1/28/2019",0
"1/28/2020",0.0025
"1/29/2011",0.0225
"1/29/2012",0
"1/29/2013",0
"1/29/2014",0.015
"1/29/2015",0
"1/29/2016",0.0525
"1/29/2017",0
