"Group.1","x"
"1/1/2011",94.625
"1/1/2012",86.2
"1/1/2013",74.225
"1/1/2014",62.75
"1/1/2015",46.575
"1/1/2016",70.775
"1/1/2017",66.65
"1/1/2018",73.3
"1/1/2019",89.15
"1/1/2020",68.125
"1/10/2011",59.725
"1/10/2012",88.125
"1/10/2013",75.25
"1/10/2014",88.05
"1/10/2015",54.125
"1/10/2016",93.675
"1/10/2017",74.875
"1/10/2018",88.15
"1/10/2019",59.8
"1/10/2020",78.8
"1/11/2011",75.175
"1/11/2012",91.2
"1/11/2013",81.975
"1/11/2014",98.75
"1/11/2015",51.9
"1/11/2016",53.975
"1/11/2017",93.25
"1/11/2018",95.825
"1/11/2019",54.05
"1/11/2020",91.9
"1/12/2011",82.05
"1/12/2012",92.575
"1/12/2013",93.775
"1/12/2014",85.65
"1/12/2015",77.85
"1/12/2016",45.6
"1/12/2017",92.1
"1/12/2018",97.425
"1/12/2019",54.45
"1/12/2020",78.925
"1/13/2011",73.225
"1/13/2012",79.45
"1/13/2013",95.4
"1/13/2014",84.75
"1/13/2015",85.75
"1/13/2016",49
"1/13/2017",77.175
"1/13/2018",86.25
"1/13/2019",93.575
"1/13/2020",83.4
"1/14/2011",75.125
"1/14/2012",56.225
"1/14/2013",93.6
"1/14/2014",92.45
"1/14/2015",70.925
"1/14/2016",44.95
"1/14/2017",76.5
"1/14/2018",45.975
"1/14/2019",89.55
"1/14/2020",94.35
"1/15/2011",78.475
"1/15/2012",56
"1/15/2013",88.1
"1/15/2014",91.675
"1/15/2015",73.25
"1/15/2016",85.6
"1/15/2017",85.2
"1/15/2018",61.425
"1/15/2019",91.325
"1/15/2020",86.475
"1/16/2011",73.5
"1/16/2012",54.75
"1/16/2013",93.825
"1/16/2014",77.425
"1/16/2015",75.5
"1/16/2016",91.15
"1/16/2017",73.8
"1/16/2018",84.45
"1/16/2019",94.025
"1/16/2020",80.05
"1/17/2011",66.275
"1/17/2012",81.425
"1/17/2013",90.475
"1/17/2014",80.725
"1/17/2015",59.275
"1/17/2016",82.175
"1/17/2017",93.925
"1/17/2018",71
"1/17/2019",89.775
"1/17/2020",60.925
"1/18/2011",92.85
"1/18/2012",73.55
"1/18/2013",73.25
"1/18/2014",75.825
"1/18/2015",92.575
"1/18/2016",58.55
"1/18/2017",90.675
"1/18/2018",65.9
"1/18/2019",97.725
"1/18/2020",56.975
"1/19/2011",91.525
"1/19/2012",62.825
"1/19/2013",72.45
"1/19/2014",56.975
"1/19/2015",83.575
"1/19/2016",41.25
"1/19/2017",75.875
"1/19/2018",56.625
"1/19/2019",96.925
"1/19/2020",83.225
"1/2/2011",93.35
"1/2/2012",73.075
"1/2/2013",69.875
"1/2/2014",93.125
"1/2/2015",58.175
"1/2/2016",65.85
"1/2/2017",85.25
"1/2/2018",56.575
"1/2/2019",79.475
"1/2/2020",75.625
"1/20/2011",85.425
"1/20/2012",58.925
"1/20/2013",77.6
"1/20/2014",74.85
"1/20/2015",80.1
"1/20/2016",46.825
"1/20/2017",88.6
"1/20/2018",54.05
"1/20/2019",93.85
"1/20/2020",57.8
"1/21/2011",79
"1/21/2012",84.4
"1/21/2013",61.1
"1/21/2014",88.3
"1/21/2015",92.775
"1/21/2016",61.7
"1/21/2017",93.675
"1/21/2018",84.45
"1/21/2019",64.25
"1/21/2020",57.5
"1/22/2011",47.2
"1/22/2012",87.8
"1/22/2013",45.775
"1/22/2014",90.625
"1/22/2015",91.6
"1/22/2016",63.55
"1/22/2017",93.1
"1/22/2018",89.75
"1/22/2019",53.1
"1/22/2020",57.725
"1/23/2011",57.025
"1/23/2012",96.925
"1/23/2013",43
"1/23/2014",85.8
"1/23/2015",84.875
"1/23/2016",96.9
"1/23/2017",90.8
"1/23/2018",86.8
"1/23/2019",53.425
"1/23/2020",58.65
"1/24/2011",62.525
"1/24/2012",88.95
"1/24/2013",56.075
"1/24/2014",85.025
"1/24/2015",97.9
"1/24/2016",91.975
"1/24/2017",90.2
"1/24/2018",75.55
"1/24/2019",94.95
"1/24/2020",85.025
"1/25/2011",67.525
"1/25/2012",80.925
"1/25/2013",69.95
"1/25/2014",80.45
"1/25/2015",84.225
"1/25/2016",95.4
"1/25/2017",83.525
"1/25/2018",64.325
"1/25/2019",72.1
"1/25/2020",93.4
"1/26/2011",90.425
