"Group.1","x"
"1/1/2011",279.985
"1/1/2012",281.1775
"1/1/2013",277.035
"1/1/2014",274
"1/1/2015",272.735
"1/1/2016",278.925
"1/1/2017",279.73
"1/1/2018",263.345
"1/1/2019",285.5225
"1/1/2020",279.3
"1/1/2021",277.29
"1/10/2011",269.7625
"1/10/2012",274.775
"1/10/2013",281.345
"1/10/2014",272.695
"1/10/2015",267.515
"1/10/2016",285
"1/10/2017",268.03
"1/10/2018",275.8175
"1/10/2019",272.62
"1/10/2020",276.545
"1/11/2011",271.3075
"1/11/2012",277.915
"1/11/2013",278.835
"1/11/2014",276.69
"1/11/2015",268.805
"1/11/2016",274.2875
"1/11/2017",278.72
"1/11/2018",278.97
"1/11/2019",271.2625
"1/11/2020",287.24
"1/12/2011",270.695
"1/12/2012",281.1475
"1/12/2013",279.2625
"1/12/2014",280.325
"1/12/2015",274.4175
"1/12/2016",273.95
"1/12/2017",285.5925
"1/12/2018",288.4175
"1/12/2019",272.2325
"1/12/2020",292.1875
"1/13/2011",270.8525
"1/13/2012",279.22
"1/13/2013",280.535
"1/13/2014",278.3475
"1/13/2015",274.3225
"1/13/2016",270.105
"1/13/2017",286.75
"1/13/2018",281.0675
"1/13/2019",270.68
"1/13/2020",282.39
"1/14/2011",269.6275
"1/14/2012",272.0075
"1/14/2013",286.4525
"1/14/2014",282.12
"1/14/2015",269.2775
"1/14/2016",272.445
"1/14/2017",276.305
"1/14/2018",266.6725
"1/14/2019",271.025
"1/14/2020",280.3875
"1/15/2011",272.5025
"1/15/2012",271.005
"1/15/2013",278.51
"1/15/2014",277.52
"1/15/2015",271.935
"1/15/2016",279.395
"1/15/2017",274.72
"1/15/2018",266.455
"1/15/2019",272.1275
"1/15/2020",281.27
"1/16/2011",275.23
"1/16/2012",271.3125
"1/16/2013",275.66
"1/16/2014",274.83
"1/16/2015",274.675
"1/16/2016",279.9725
"1/16/2017",276.3825
"1/16/2018",271.28
"1/16/2019",273.255
"1/16/2020",283.4125
"1/17/2011",271.785
"1/17/2012",279.2225
"1/17/2013",278.15
"1/17/2014",274.46
"1/17/2015",272.4175
"1/17/2016",275.7525
"1/17/2017",278.5275
"1/17/2018",271.3275
"1/17/2019",275.0975
"1/17/2020",274.305
"1/18/2011",271.675
"1/18/2012",280.8825
"1/18/2013",274.995
"1/18/2014",273.625
"1/18/2015",274.3525
"1/18/2016",269.3425
"1/18/2017",283.35
"1/18/2018",268.3325
"1/18/2019",273.82
"1/18/2020",270.97
"1/19/2011",275.5
"1/19/2012",271.72
"1/19/2013",275.45
"1/19/2014",271.045
"1/19/2015",277.48
"1/19/2016",264.4775
"1/19/2017",281.055
"1/19/2018",276.935
"1/19/2019",275.885
"1/19/2020",276.445
"1/2/2011",283.3125
"1/2/2012",278.8125
"1/2/2013",274.98
"1/2/2014",275.0275
"1/2/2015",276.7225
"1/2/2016",276.08
"1/2/2017",278.91
"1/2/2018",263.255
"1/2/2019",280.0275
