"Group.1","x"
"1/1/2011",4.0425
"1/1/2012",1.065
"1/1/2013",0.405
"1/1/2014",1.17
"1/1/2015",2.66
"1/1/2016",-3.41
"1/1/2017",2.195
"1/1/2018",-4.265
"1/1/2019",1.3375
"1/1/2020",-0.6125
"1/1/2021",-5.44
"1/10/2011",-4.59
"1/10/2012",1.9625
"1/10/2013",-1.8225
"1/10/2014",1.9525
"1/10/2015",-3.8775
"1/10/2016",2.31
"1/10/2017",6.855
"1/10/2018",-0.1325
"1/10/2019",-3.8775
"1/10/2020",7.6975
"1/11/2011",-1.7825
"1/11/2012",1.1875
"1/11/2013",1.3925
"1/11/2014",2.685
"1/11/2015",4.9325
"1/11/2016",-1.655
"1/11/2017",6.665
"1/11/2018",4.6325
"1/11/2019",-5.1625
"1/11/2020",8.4425
"1/12/2011",0.1925
"1/12/2012",-0.36
"1/12/2013",0.235
"1/12/2014",-0.3525
"1/12/2015",4.99
"1/12/2016",2.08
"1/12/2017",8.755
"1/12/2018",5.1175
"1/12/2019",-0.84
"1/12/2020",3.985
"1/13/2011",-5.125
"1/13/2012",2.5625
"1/13/2013",3.325
"1/13/2014",2.3875
"1/13/2015",-5.6225
"1/13/2016",-2.1525
"1/13/2017",0.3425
"1/13/2018",-1.2
"1/13/2019",-0.7275
"1/13/2020",-2.525
"1/14/2011",-3.87
"1/14/2012",-1.1225
"1/14/2013",1.8425
"1/14/2014",2.935
"1/14/2015",-3.3
"1/14/2016",2.075
"1/14/2017",-1.205
"1/14/2018",-6.57
"1/14/2019",-4.5975
"1/14/2020",1.365
"1/15/2011",2.0825
"1/15/2012",-4.5275
"1/15/2013",-2.5625
"1/15/2014",2.0175
"1/15/2015",-1.945
"1/15/2016",3.725
"1/15/2017",-1.35
"1/15/2018",-2.81
"1/15/2019",-3.7075
"1/15/2020",-0.6925
"1/16/2011",-1.62
"1/16/2012",2.9125
"1/16/2013",-0.9875
"1/16/2014",-3.7575
"1/16/2015",0.655
"1/16/2016",0.055
"1/16/2017",1.18
"1/16/2018",2.31
"1/16/2019",-1.5
"1/16/2020",0.105
"1/17/2011",-1.6725
"1/17/2012",7.0025
"1/17/2013",-1.345
"1/17/2014",2.7425
"1/17/2015",-0.79
"1/17/2016",-1.2875
"1/17/2017",3.135
"1/17/2018",-3.655
"1/17/2019",-1.705
"1/17/2020",-7.51
"1/18/2011",-2.545
"1/18/2012",-1.5625
"1/18/2013",-3.3575
"1/18/2014",-1.795
"1/18/2015",5.4575
"1/18/2016",-2.0375
"1/18/2017",-0.6275
"1/18/2018",-4.05
"1/18/2019",1.3775
"1/18/2020",1.0525
"1/19/2011",0.17
"1/19/2012",-0.7675
"1/19/2013",6.8725
"1/19/2014",-0.0175
"1/19/2015",-0.5175
"1/19/2016",-3.975
"1/19/2017",-3.2275
"1/19/2018",-0.08
"1/19/2019",-0.65
"1/19/2020",1.6425
"1/2/2011",0.7125
"1/2/2012",-0.47
"1/2/2013",-3.9475
"1/2/2014",1.915
"1/2/2015",0.59
"1/2/2016",-0.65
"1/2/2017",0.0425
"1/2/2018",-3.01
"1/2/2019",-0.915
"1/2/2020",1.295
"1/20/2011",-2.4725
"1/20/2012",-0.5375
"1/20/2013",4.1225
"1/20/2014",2.7925
"1/20/2015",0.6825
"1/20/2016",-2.6525
"1/20/2017",2.0225
"1/20/2018",1.085
"1/20/2019",-1.8275
"1/20/2020",-5.515
"1/21/2011",-0.2625
"1/21/2012",-0.255
"1/21/2013",-1.345
"1/21/2014",-3.085
"1/21/2015",-0.7925
"1/21/2016",-1.71
"1/21/2017",2.05
"1/21/2018",0.4125
"1/21/2019",-6.185
"1/21/2020",-6.085
"1/22/2011",-3.0675
"1/22/2012",-3.9375
"1/22/2013",-4.5175
"1/22/2014",-5.99
"1/22/2015",-0.035
"1/22/2016",-4.5875
"1/22/2017",-1.2025
"1/22/2018",4.04
"1/22/2019",-3.325
"1/22/2020",-3.4825
"1/23/2011",-1.5675
"1/23/2012",1.21
"1/23/2013",-2.7925
"1/23/2014",-0.915
"1/23/2015",-1.9225
"1/23/2016",-7.5975
"1/23/2017",-2.9475
"1/23/2018",2.5475
"1/23/2019",7.6425
"1/23/2020",1.1525
"1/24/2011",-2
"1/24/2012",1.2075
