Date,Time,Prec
1/1/2011,1:00,0
1/1/2011,7:00,0
1/1/2011,13:00,0
1/1/2011,19:00,0.01
1/2/2011,1:00,0.49
1/2/2011,7:00,0.05
1/2/2011,13:00,0.03
1/2/2011,19:00,0.62
1/3/2011,1:00,0
1/3/2011,7:00,0
1/3/2011,13:00,0
1/3/2011,19:00,0
1/4/2011,1:00,0
1/4/2011,7:00,0
1/4/2011,13:00,0
1/4/2011,19:00,0
1/5/2011,1:00,0
1/5/2011,7:00,0
1/5/2011,13:00,0
1/5/2011,19:00,0
1/6/2011,1:00,0
1/6/2011,7:00,0
1/6/2011,13:00,0
1/6/2011,19:00,0
1/7/2011,1:00,0
1/7/2011,7:00,0.1
1/7/2011,13:00,0
1/7/2011,19:00,0
1/8/2011,1:00,0
1/8/2011,7:00,0
1/8/2011,13:00,0.01
1/8/2011,19:00,0
1/9/2011,1:00,0
1/9/2011,7:00,0
1/9/2011,13:00,0
1/9/2011,19:00,0
1/10/2011,1:00,0
1/10/2011,7:00,0
1/10/2011,13:00,0
1/10/2011,19:00,0
1/11/2011,1:00,0
1/11/2011,7:00,0
1/11/2011,13:00,0
1/11/2011,19:00,0.09
1/12/2011,1:00,0.98
1/12/2011,7:00,0
1/12/2011,13:00,0.01
1/12/2011,19:00,0.01
1/13/2011,1:00,0.01
1/13/2011,7:00,0
1/13/2011,13:00,0
1/13/2011,19:00,0
1/14/2011,1:00,0
1/14/2011,7:00,0
1/14/2011,13:00,0
1/14/2011,19:00,0
1/15/2011,1:00,0
1/15/2011,7:00,0
1/15/2011,13:00,0
1/15/2011,19:00,0
1/16/2011,1:00,0.03
1/16/2011,7:00,0
1/16/2011,13:00,0
1/16/2011,19:00,0
1/17/2011,1:00,0
1/17/2011,7:00,0
1/17/2011,13:00,0.01
1/17/2011,19:00,0
1/18/2011,1:00,0.85
1/18/2011,7:00,0.43
1/18/2011,13:00,0.18
1/18/2011,19:00,0
1/19/2011,1:00,0
1/19/2011,7:00,1
1/19/2011,13:00,0
1/19/2011,19:00,0
1/20/2011,1:00,0
1/20/2011,7:00,0
1/20/2011,13:00,0
1/20/2011,19:00,0.02
1/21/2011,1:00,0
1/21/2011,7:00,0.09
1/21/2011,13:00,0
1/21/2011,19:00,0
1/22/2011,1:00,0
1/22/2011,7:00,0
1/22/2011,13:00,0
1/22/2011,19:00,0
1/23/2011,1:00,0
1/23/2011,7:00,0
1/23/2011,13:00,0
1/23/2011,19:00,0
1/24/2011,1:00,0
1/24/2011,7:00,0
1/24/2011,13:00,0
1/24/2011,19:00,0
1/25/2011,1:00,0
1/25/2011,7:00,0
1/25/2011,13:00,0
1/25/2011,19:00,0
1/26/2011,1:00,0
1/26/2011,7:00,0.13
1/26/2011,13:00,0.87
1/26/2011,19:00,0.68
1/27/2011,1:00,1.65
1/27/2011,7:00,0
1/27/2011,13:00,0
1/27/2011,19:00,0.03
1/28/2011,1:00,0
1/28/2011,7:00,0.09
1/28/2011,13:00,0.06
1/28/2011,19:00,0.3
1/29/2011,1:00,0.08
1/29/2011,7:00,0
1/29/2011,13:00,0
1/29/2011,19:00,0.01
1/30/2011,1:00,0.01
1/30/2011,7:00,0
1/30/2011,13:00,0
1/30/2011,19:00,0
1/31/2011,1:00,0
1/31/2011,7:00,0
1/31/2011,13:00,0
1/31/2011,19:00,0
2/1/2011,1:00,0
2/1/2011,7:00,0.09
2/1/2011,13:00,0
2/1/2011,19:00,0.01
2/2/2011,1:00,0.04
2/2/2011,7:00,3.9
2/2/2011,13:00,0.19
2/2/2011,19:00,0
2/3/2011,1:00,0
2/3/2011,7:00,0
2/3/2011,13:00,0
2/3/2011,19:00,0
2/4/2011,1:00,0
2/4/2011,7:00,0
2/4/2011,13:00,0
2/4/2011,19:00,0
2/5/2011,1:00,0
2/5/2011,7:00,0
2/5/2011,13:00,0.31
2/5/2011,19:00,0.33
2/6/2011,1:00,0.06
2/6/2011,7:00,0
2/6/2011,13:00,0
2/6/2011,19:00,0
2/7/2011,1:00,0
2/7/2011,7:00,0
2/7/2011,13:00,0
2/7/2011,19:00,0
2/8/2011,1:00,0.01
2/8/2011,7:00,0.03
2/8/2011,13:00,0
2/8/2011,19:00,0.02
2/9/2011,1:00,0
2/9/2011,7:00,0
2/9/2011,13:00,0
2/9/2011,19:00,0
2/10/2011,1:00,0.12
2/10/2011,7:00,0.03
2/10/2011,13:00,0
2/10/2011,19:00,0
2/11/2011,1:00,0
2/11/2011,7:00,0
2/11/2011,13:00,0
2/11/2011,19:00,0
2/12/2011,1:00,0
2/12/2011,7:00,0
2/12/2011,13:00,0
2/12/2011,19:00,0
2/13/2011,1:00,0
2/13/2011,7:00,0
