Date,Time,Temp
1/1/2011,0:00,279.54
1/1/2011,6:00,277.04
1/1/2011,12:00,277.17
1/1/2011,18:00,286.19
1/2/2011,0:00,284.87
1/2/2011,6:00,284.42
1/2/2011,12:00,282.46
1/2/2011,18:00,281.5
1/3/2011,0:00,278.14
1/3/2011,6:00,272.11
1/3/2011,12:00,269.98
1/3/2011,18:00,274.79
1/4/2011,0:00,274.47
1/4/2011,6:00,271.7
1/4/2011,12:00,269.5
1/4/2011,18:00,277.48
1/5/2011,0:00,276.31
1/5/2011,6:00,274.18
1/5/2011,12:00,272.2
1/5/2011,18:00,275.69
1/6/2011,0:00,272.98
1/6/2011,6:00,271.2
1/6/2011,12:00,270.49
1/6/2011,18:00,274.9
1/7/2011,0:00,272.84
1/7/2011,6:00,272.85
1/7/2011,12:00,272.57
1/7/2011,18:00,272.83
1/8/2011,0:00,272.19
1/8/2011,6:00,270.84
1/8/2011,12:00,270.51
1/8/2011,18:00,272.33
1/9/2011,0:00,268.83
1/9/2011,6:00,267.76
1/9/2011,12:00,267.2
1/9/2011,18:00,272.27
1/10/2011,0:00,270.09
1/10/2011,6:00,268.87
1/10/2011,12:00,268.04
1/10/2011,18:00,272.05
1/11/2011,0:00,271.25
1/11/2011,6:00,270.37
1/11/2011,12:00,271
1/11/2011,18:00,272.61
1/12/2011,0:00,270.48
1/12/2011,6:00,269.41
1/12/2011,12:00,269.59
1/12/2011,18:00,273.3
1/13/2011,0:00,271.39
1/13/2011,6:00,269.87
1/13/2011,12:00,269.14
1/13/2011,18:00,273.01
1/14/2011,0:00,270.72
1/14/2011,6:00,267.58
1/14/2011,12:00,267.47
1/14/2011,18:00,272.74
1/15/2011,0:00,272.32
1/15/2011,6:00,270.73
1/15/2011,12:00,269.57
1/15/2011,18:00,277.39
1/16/2011,0:00,277.64
1/16/2011,6:00,274.92
1/16/2011,12:00,273.38
1/16/2011,18:00,274.98
1/17/2011,0:00,272.28
1/17/2011,6:00,271.66
1/17/2011,12:00,271.2
1/17/2011,18:00,272
1/18/2011,0:00,270.82
1/18/2011,6:00,270.72
1/18/2011,12:00,271.72
1/18/2011,18:00,273.44
1/19/2011,0:00,273.09
1/19/2011,6:00,273.91
1/19/2011,12:00,273.62
1/19/2011,18:00,281.38
1/20/2011,0:00,277.72
1/20/2011,6:00,274.47
1/20/2011,12:00,273.26
1/20/2011,18:00,276.35
1/21/2011,0:00,275.73
1/21/2011,6:00,274.34
1/21/2011,12:00,272.48
1/21/2011,18:00,270.93
1/22/2011,0:00,267.81
1/22/2011,6:00,265.01
1/22/2011,12:00,263.63
1/22/2011,18:00,267.07
1/23/2011,0:00,266.66
1/23/2011,6:00,265.85
1/23/2011,12:00,266.76
1/23/2011,18:00,269.67
1/24/2011,0:00,268.14
1/24/2011,6:00,265.97
1/24/2011,12:00,263.46
1/24/2011,18:00,269.4
1/25/2011,0:00,269.52
1/25/2011,6:00,269.72
1/25/2011,12:00,269.93
1/25/2011,18:00,278.59
1/26/2011,0:00,276.03
1/26/2011,6:00,273.94
1/26/2011,12:00,273.4
1/26/2011,18:00,274.14
1/27/2011,0:00,273.11
1/27/2011,6:00,273.67
1/27/2011,12:00,270.39
1/27/2011,18:00,273.77
1/28/2011,0:00,273.2
1/28/2011,6:00,272.52
1/28/2011,12:00,271.53
1/28/2011,18:00,272.98
1/29/2011,0:00,274.2
1/29/2011,6:00,270.91
1/29/2011,12:00,270.54
1/29/2011,18:00,273.67
1/30/2011,0:00,274.76
1/30/2011,6:00,272.78
1/30/2011,12:00,271.15
1/30/2011,18:00,277.57
1/31/2011,0:00,276.67
1/31/2011,6:00,272.58
1/31/2011,12:00,270.14
1/31/2011,18:00,271.31
2/1/2011,0:00,271
2/1/2011,6:00,270.1
2/1/2011,12:00,270.47
2/1/2011,18:00,273.6
2/2/2011,0:00,273.56
2/2/2011,6:00,273.47
2/2/2011,12:00,273.36
2/2/2011,18:00,280.9
2/3/2011,0:00,275.58
2/3/2011,6:00,270.92
2/3/2011,12:00,269.82
2/3/2011,18:00,272.44
2/4/2011,0:00,272.32
2/4/2011,6:00,272.41
2/4/2011,12:00,270.8
2/4/2011,18:00,275.97
2/5/2011,0:00,275.42
2/5/2011,6:00,273.83
2/5/2011,12:00,273.51
2/5/2011,18:00,274.27
2/6/2011,0:00,276.58
2/6/2011,6:00,274.98
2/6/2011,12:00,274.8
2/6/2011,18:00,278.94
2/7/2011,0:00,278.22
2/7/2011,6:00,274.92
2/7/2011,12:00,272.9
2/7/2011,18:00,279.71
2/8/2011,0:00,278.29
2/8/2011,6:00,278
2/8/2011,12:00,274.74
2/8/2011,18:00,274.13
2/9/2011,0:00,270.91
2/9/2011,6:00,267.43
2/9/2011,12:00,266.45
2/9/2011,18:00,272.65
2/10/2011,0:00,271.23
2/10/2011,6:00,270.79
2/10/2011,12:00,268.46
2/10/2011,18:00,270.74
2/11/2011,0:00,270.39
2/11/2011,6:00,269.89
2/11/2011,12:00,266.73
2/11/2011,18:00,276.71
2/12/2011,0:00,276.78
2/12/2011,6:00,273.07
2/12/2011,12:00,270.77
2/12/2011,18:00,279.03
2/13/2011,0:00,276.3
2/13/2011,6:00,274.96
2/13/2011,12:00,274.03
2/13/2011,18:00,283.04
2/14/2011,0:00,282.71
2/14/2011,6:00,281
2/14/2011,12:00,279.96
2/14/2011,18:00,290.44
2/15/2011,0:00,280.86
2/15/2011,6:00,276.43
2/15/2011,12:00,272.02
2/15/2011,18:00,277.51
2/16/2011,0:00,276.67
2/16/2011,6:00,273.34
2/16/2011,12:00,272.5
2/16/2011,18:00,283.71
2/17/2011,0:00,283.56
2/17/2011,6:00,280.1
2/17/2011,12:00,279.52
2/17/2011,18:00,291.74
2/18/2011,0:00,288.57
2/18/2011,6:00,287.1
2/18/2011,12:00,285.19
2/18/2011,18:00,294.22
2/19/2011,0:00,292.82
2/19/2011,6:00,283.51
2/19/2011,12:00,281.17
2/19/2011,18:00,284.49
2/20/2011,0:00,279.32
2/20/2011,6:00,274.39
2/20/2011,12:00,272.07
2/20/2011,18:00,279.79
2/21/2011,0:00,279.16
2/21/2011,6:00,277.62
2/21/2011,12:00,279.92
2/21/2011,18:00,277.74
2/22/2011,0:00,273.27
2/22/2011,6:00,269.13
2/22/2011,12:00,267.93
2/22/2011,18:00,272.58
2/23/2011,0:00,272.44
2/23/2011,6:00,270.15
2/23/2011,12:00,268.77
2/23/2011,18:00,277.1
2/24/2011,0:00,277.42
2/24/2011,6:00,272.51
2/24/2011,12:00,272.16
2/24/2011,18:00,282.18
2/25/2011,0:00,280.35
2/25/2011,6:00,278.5
2/25/2011,12:00,282.23
2/25/2011,18:00,288.33
2/26/2011,0:00,277.58
2/26/2011,6:00,273.86
2/26/2011,12:00,274.15
2/26/2011,18:00,279.59
2/27/2011,0:00,278.55
2/27/2011,6:00,276.26
2/27/2011,12:00,277.89
2/27/2011,18:00,285.68
2/28/2011,0:00,283.01
2/28/2011,6:00,279.56
2/28/2011,12:00,281.33
2/28/2011,18:00,291.22
3/1/2011,0:00,283.5
3/1/2011,6:00,276.8
3/1/2011,12:00,273.06
3/1/2011,18:00,278.44
3/2/2011,0:00,278.94
3/2/2011,6:00,274.63
3/2/2011,12:00,273.73
3/2/2011,18:00,287.86
3/3/2011,0:00,283.2
3/3/2011,6:00,273.06
3/3/2011,12:00,269.35
3/3/2011,18:00,273.6
3/4/2011,0:00,273.92
3/4/2011,6:00,272.47
3/4/2011,12:00,271.89
3/4/2011,18:00,279.28
3/5/2011,0:00,278.73
3/5/2011,6:00,276.9
3/5/2011,12:00,279.09
3/5/2011,18:00,289.69
3/6/2011,0:00,286.77
3/6/2011,6:00,284.68
3/6/2011,12:00,285.28
3/6/2011,18:00,286.48
3/7/2011,0:00,275.59
3/7/2011,6:00,275.34
3/7/2011,12:00,273.39
3/7/2011,18:00,280.03
3/8/2011,0:00,279.2
3/8/2011,6:00,276.56
3/8/2011,12:00,273.53
3/8/2011,18:00,280.94
3/9/2011,0:00,280.64
3/9/2011,6:00,275.23
3/9/2011,12:00,275.24
3/9/2011,18:00,280.65
3/10/2011,0:00,280.28
3/10/2011,6:00,281.33
3/10/2011,12:00,282.89
3/10/2011,18:00,285.67
3/11/2011,0:00,287.02
3/11/2011,6:00,278.34
3/11/2011,12:00,277.38
3/11/2011,18:00,280.91
3/12/2011,0:00,278.27
3/12/2011,6:00,276.1
3/12/2011,12:00,275.56
3/12/2011,18:00,282.83
3/13/2011,0:00,286.97
3/13/2011,6:00,283.81
3/13/2011,12:00,282.12
3/13/2011,18:00,284.83
3/14/2011,0:00,280.77
3/14/2011,6:00,276.93
3/14/2011,12:00,276.25
3/14/2011,18:00,281.82
3/15/2011,0:00,281.38
3/15/2011,6:00,277.36
3/15/2011,12:00,275.18
3/15/2011,18:00,282.09
3/16/2011,0:00,280.59
3/16/2011,6:00,278.56
3/16/2011,12:00,278.58
3/16/2011,18:00,285.04
3/17/2011,0:00,285.1
3/17/2011,6:00,281.09
