Date,Time,u_1000
1/1/2011,0:00,0.73
1/1/2011,6:00,1.87
1/1/2011,12:00,1.08
1/1/2011,18:00,1.91
1/2/2011,0:00,-0.08
1/2/2011,6:00,1.86
1/2/2011,12:00,1.53
1/2/2011,18:00,0.17
1/3/2011,0:00,8.03
1/3/2011,6:00,5.77
1/3/2011,12:00,3.78
1/3/2011,18:00,4.74
1/4/2011,0:00,2.52
1/4/2011,6:00,1.81
1/4/2011,12:00,0.83
1/4/2011,18:00,1.33
1/5/2011,0:00,0.89
1/5/2011,6:00,1.79
1/5/2011,12:00,2.15
1/5/2011,18:00,4.2
1/6/2011,0:00,0.06
1/6/2011,6:00,-0.83
1/6/2011,12:00,-0.98
1/6/2011,18:00,1.68
1/7/2011,0:00,-1.48
1/7/2011,6:00,0.67
1/7/2011,12:00,2.62
1/7/2011,18:00,2.92
1/8/2011,0:00,-1.86
1/8/2011,6:00,-1.22
1/8/2011,12:00,-2.32
1/8/2011,18:00,6.04
1/9/2011,0:00,5.98
1/9/2011,6:00,6.47
1/9/2011,12:00,6.37
1/9/2011,18:00,7.83
1/10/2011,0:00,8.1
1/10/2011,6:00,5.24
1/10/2011,12:00,4.79
1/10/2011,18:00,3.81
1/11/2011,0:00,2.85
1/11/2011,6:00,-0.19
1/11/2011,12:00,-1.13
1/11/2011,18:00,-2.23
1/12/2011,0:00,-0.92
1/12/2011,6:00,1.83
1/12/2011,12:00,1.53
1/12/2011,18:00,7.55
1/13/2011,0:00,6.95
1/13/2011,6:00,6.7
1/13/2011,12:00,5.31
1/13/2011,18:00,7.16
1/14/2011,0:00,7.2
1/14/2011,6:00,5.97
1/14/2011,12:00,4.24
1/14/2011,18:00,4.91
1/15/2011,0:00,1.43
1/15/2011,6:00,-1.58
1/15/2011,12:00,-0.87
1/15/2011,18:00,0.72
1/16/2011,0:00,2.15
1/16/2011,6:00,2.63
1/16/2011,12:00,2.65
1/16/2011,18:00,3.89
1/17/2011,0:00,0.73
1/17/2011,6:00,-0.4
1/17/2011,12:00,-3.66
1/17/2011,18:00,-3.36
1/18/2011,0:00,-3.75
1/18/2011,6:00,-3.76
1/18/2011,12:00,2.22
1/18/2011,18:00,3.09
1/19/2011,0:00,2.89
1/19/2011,6:00,0.37
1/19/2011,12:00,0.93
1/19/2011,18:00,3.53
1/20/2011,0:00,3.86
1/20/2011,6:00,3.2
1/20/2011,12:00,3.18
1/20/2011,18:00,0.67
1/21/2011,0:00,-1.38
1/21/2011,6:00,0.11
1/21/2011,12:00,4.63
1/21/2011,18:00,7.5
1/22/2011,0:00,5.25
1/22/2011,6:00,3.36
1/22/2011,12:00,2.75
1/22/2011,18:00,0.3
1/23/2011,0:00,-0.79
1/23/2011,6:00,2.53
1/23/2011,12:00,3.32
1/23/2011,18:00,5.29
1/24/2011,0:00,3.51
1/24/2011,6:00,0.84
1/24/2011,12:00,-4.52
1/24/2011,18:00,-0.33
1/25/2011,0:00,-1.85
1/25/2011,6:00,1.54
1/25/2011,12:00,0.78
1/25/2011,18:00,0.38
1/26/2011,0:00,-2.76
1/26/2011,6:00,-2.24
1/26/2011,12:00,-3.37
1/26/2011,18:00,-3.52
1/27/2011,0:00,1.87
1/27/2011,6:00,3.81
1/27/2011,12:00,4.11
1/27/2011,18:00,4.4
1/28/2011,0:00,0.2
1/28/2011,6:00,-1.21
1/28/2011,12:00,-0.78
1/28/2011,18:00,-0.38
1/29/2011,0:00,1.19
1/29/2011,6:00,4.62
1/29/2011,12:00,2.95
1/29/2011,18:00,-2.38
1/30/2011,0:00,-2.05
1/30/2011,6:00,1.98
1/30/2011,12:00,0.53
1/30/2011,18:00,0.31
1/31/2011,0:00,-0.24
1/31/2011,6:00,-1.44
1/31/2011,12:00,-4.13
1/31/2011,18:00,-1.49
2/1/2011,0:00,-4.17
2/1/2011,6:00,-2.06
2/1/2011,12:00,-2.6
2/1/2011,18:00,0.28
2/2/2011,0:00,-2.68
2/2/2011,6:00,-4.74
