Date,Time,v_1000
1/1/2011,0:00,2.61
1/1/2011,6:00,3.15
1/1/2011,12:00,3.98
1/1/2011,18:00,6.43
1/2/2011,0:00,6.05
1/2/2011,6:00,4.64
1/2/2011,12:00,-5.28
1/2/2011,18:00,-2.56
1/3/2011,0:00,-4.6
1/3/2011,6:00,-5.23
1/3/2011,12:00,-5.05
1/3/2011,18:00,-2.17
1/4/2011,0:00,1.32
1/4/2011,6:00,3.75
1/4/2011,12:00,2.84
1/4/2011,18:00,2.55
1/5/2011,0:00,2.94
1/5/2011,6:00,-0.23
1/5/2011,12:00,-2.61
1/5/2011,18:00,-2.7
1/6/2011,0:00,-1.17
1/6/2011,6:00,-0.04
1/6/2011,12:00,-0.47
1/6/2011,18:00,1.02
1/7/2011,0:00,3.14
1/7/2011,6:00,3.3
1/7/2011,12:00,-2.43
1/7/2011,18:00,-1.6
1/8/2011,0:00,0.01
1/8/2011,6:00,2.71
1/8/2011,12:00,0.62
1/8/2011,18:00,-2.84
1/9/2011,0:00,-2.93
1/9/2011,6:00,-4.95
1/9/2011,12:00,-1.99
1/9/2011,18:00,-5.64
1/10/2011,0:00,-5.58
1/10/2011,6:00,-6.28
1/10/2011,12:00,-4.73
1/10/2011,18:00,-1.77
1/11/2011,0:00,-3.47
1/11/2011,6:00,-3.69
1/11/2011,12:00,-0.36
1/11/2011,18:00,0.39
1/12/2011,0:00,1.74
1/12/2011,6:00,1.77
1/12/2011,12:00,1.09
1/12/2011,18:00,-3.83
1/13/2011,0:00,-4.31
1/13/2011,6:00,-6.58
1/13/2011,12:00,-5.21
1/13/2011,18:00,-4.4
1/14/2011,0:00,-5.52
1/14/2011,6:00,-4.87
1/14/2011,12:00,-2.68
1/14/2011,18:00,-2.41
1/15/2011,0:00,-0.39
1/15/2011,6:00,2.43
1/15/2011,12:00,1.82
1/15/2011,18:00,4.47
1/16/2011,0:00,3.64
1/16/2011,6:00,-1.49
1/16/2011,12:00,-5.21
1/16/2011,18:00,-3.42
1/17/2011,0:00,-3.13
1/17/2011,6:00,-2.87
1/17/2011,12:00,-1.17
1/17/2011,18:00,0.48
1/18/2011,0:00,-0.52
1/18/2011,6:00,-2.33
1/18/2011,12:00,-4.47
1/18/2011,18:00,-2.86
1/19/2011,0:00,0.76
1/19/2011,6:00,1.47
1/19/2011,12:00,0.57
1/19/2011,18:00,-2.12
1/20/2011,0:00,-2.41
1/20/2011,6:00,-4.08
1/20/2011,12:00,-3.27
1/20/2011,18:00,-0.13
1/21/2011,0:00,2.93
1/21/2011,6:00,3.04
1/21/2011,12:00,-3.47
1/21/2011,18:00,-3.55
1/22/2011,0:00,-3.52
1/22/2011,6:00,-5.1
1/22/2011,12:00,-2.79
1/22/2011,18:00,-0.86
1/23/2011,0:00,-0.37
1/23/2011,6:00,0.75
1/23/2011,12:00,-3.28
1/23/2011,18:00,-3.37
1/24/2011,0:00,-4.97
1/24/2011,6:00,-5.39
1/24/2011,12:00,-0.41
1/24/2011,18:00,2.77
1/25/2011,0:00,4.49
1/25/2011,6:00,5.41
1/25/2011,12:00,3.19
1/25/2011,18:00,-0.72
1/26/2011,0:00,-0.28
1/26/2011,6:00,-0.88
1/26/2011,12:00,-1.86
1/26/2011,18:00,-3.62
1/27/2011,0:00,-7.98
1/27/2011,6:00,-2.73
1/27/2011,12:00,-2.18
1/27/2011,18:00,-0.71
1/28/2011,0:00,1.87
1/28/2011,6:00,2.67
1/28/2011,12:00,2.07
1/28/2011,18:00,1.15
1/29/2011,0:00,0.23
1/29/2011,6:00,-2.64
1/29/2011,12:00,-0.27
1/29/2011,18:00,5.77
1/30/2011,0:00,-2.4
1/30/2011,6:00,-1.37
1/30/2011,12:00,-0.13
1/30/2011,18:00,0.09
1/31/2011,0:00,-3.88
1/31/2011,6:00,-5.76
1/31/2011,12:00,-4.13
1/31/2011,18:00,-1
2/1/2011,0:00,-0.35
2/1/2011,6:00,0.71
2/1/2011,12:00,-0.22
2/1/2011,18:00,0.34
2/2/2011,0:00,0.24
2/2/2011,6:00,1.49
2/2/2011,12:00,-2.67
2/2/2011,18:00,-1.28
2/3/2011,0:00,-6.5
2/3/2011,6:00,-6.92
2/3/2011,12:00,-4.91
2/3/2011,18:00,-3.73
2/4/2011,0:00,-0.97
2/4/2011,6:00,-1.63
2/4/2011,12:00,2.25
2/4/2011,18:00,2.24
2/5/2011,0:00,4.3
2/5/2011,6:00,3.32
2/5/2011,12:00,1.33
2/5/2011,18:00,-0.01
2/6/2011,0:00,1.77
2/6/2011,6:00,-0.83
2/6/2011,12:00,-1.57
2/6/2011,18:00,-1.51
2/7/2011,0:00,-1.7
2/7/2011,6:00,1.15
2/7/2011,12:00,-0.06
2/7/2011,18:00,0.35
2/8/2011,0:00,1.17
2/8/2011,6:00,1.12
2/8/2011,12:00,-3.82
2/8/2011,18:00,-3.67
2/9/2011,0:00,-5.5
2/9/2011,6:00,-5.14
2/9/2011,12:00,0.1
2/9/2011,18:00,3.97
2/10/2011,0:00,5.23
2/10/2011,6:00,-2.82
2/10/2011,12:00,-5.29
2/10/2011,18:00,-3.68
2/11/2011,0:00,-1.6
2/11/2011,6:00,2.26
2/11/2011,12:00,3.58
2/11/2011,18:00,1.27
2/12/2011,0:00,2.92
2/12/2011,6:00,-0.01
2/12/2011,12:00,3.52
2/12/2011,18:00,-3.61
2/13/2011,0:00,-3.1
2/13/2011,6:00,1.52
2/13/2011,12:00,5.29
2/13/2011,18:00,5.28
2/14/2011,0:00,4.49
2/14/2011,6:00,3.59
2/14/2011,12:00,5.85
2/14/2011,18:00,-1.06
2/15/2011,0:00,-3.54
2/15/2011,6:00,-9.74
2/15/2011,12:00,-5.83
2/15/2011,18:00,-2
2/16/2011,0:00,-1.22
2/16/2011,6:00,3.54
2/16/2011,12:00,8.92
2/16/2011,18:00,6.14
2/17/2011,0:00,6.14
2/17/2011,6:00,4.56
2/17/2011,12:00,2.17
2/17/2011,18:00,4.49
2/18/2011,0:00,5.43
2/18/2011,6:00,4.72
2/18/2011,12:00,3.34
2/18/2011,18:00,1.84
2/19/2011,0:00,0.87
2/19/2011,6:00,-1.86
2/19/2011,12:00,-2.42
2/19/2011,18:00,-7.06
