"ï..Date","PM2.5","date"
"1/1/2010",12.9,2010-01-01
"1/10/2010",7.5,2010-01-10
"4/20/2010",8.6,2010-04-10
"12/18/2012",6.2,2012-09-26
"12/19/2012",10.2,2012-09-27
"12/20/2012",10.2,2012-09-28
"12/22/2012",3,2012-09-29
"12/23/2012",3.4,2012-09-30
"12/24/2012",10.2,2012-10-01
"12/25/2012",12.7,2012-10-02
"12/26/2012",5.5,2012-10-03
"12/27/2012",9.5,2012-10-04
"12/28/2012",9.9,2012-10-05
"4/21/2010",14.2,2010-04-11
"12/31/2012",9.5,2012-10-06
"1/1/2013",9.9,2012-10-07
"1/2/2013",12.8,2012-10-08
"1/3/2013",15.7,2012-10-09
"1/4/2013",10.6,2012-10-10
"1/5/2013",9,2012-10-11
"1/6/2013",8.9,2012-10-12
"1/7/2013",11.6,2012-10-13
"1/8/2013",15.7,2012-10-14
"1/9/2013",8.2,2012-10-15
"4/22/2010",10.4,2010-04-12
"1/10/2013",8.2,2012-10-16
"1/11/2013",18.6,2012-10-17
"1/12/2013",23,2012-10-18
"1/13/2013",9,2012-10-19
"1/14/2013",7.1,2012-10-20
"1/15/2013",12.6,2012-10-21
"1/16/2013",8.9,2012-10-22
"1/17/2013",10.2,2012-10-23
"1/18/2013",7.4,2012-10-24
"1/19/2013",5.3,2012-10-25
"4/23/2010",11.7,2010-04-13
"1/20/2013",5.1,2012-10-26
"1/22/2013",5,2012-10-27
"1/23/2013",9.2,2012-10-28
"1/25/2013",22.1,2012-10-29
"1/26/2013",22.4,2012-10-30
"1/27/2013",25,2012-10-31
"1/28/2013",25.8,2012-11-01
"1/29/2013",14.3,2012-11-02
"1/30/2013",10.8,2012-11-03
"1/31/2013",3.9,2012-11-04
"4/24/2010",8,2010-04-14
"2/1/2013",5.7,2012-11-05
"2/2/2013",7.2,2012-11-06
"2/3/2013",15.7,2012-11-07
"2/4/2013",8,2012-11-08
"2/5/2013",19.5,2012-11-09
"2/6/2013",18.7,2012-11-10
"2/7/2013",15.7,2012-11-11
"2/8/2013",11,2012-11-12
"2/9/2013",7.4,2012-11-13
"2/10/2013",8.4,2012-11-14
"4/25/2010",9,2010-04-15
"2/11/2013",7,2012-11-15
"2/12/2013",6.4,2012-11-16
"2/13/2013",16.4,2012-11-17
"2/14/2013",15,2012-11-18
"2/15/2013",8.6,2012-11-19
"2/16/2013",9.7,2012-11-20
"2/17/2013",6.4,2012-11-21
"2/18/2013",5.4,2012-11-22
"2/19/2013",6.7,2012-11-23
"2/20/2013",6.4,2012-11-24
"4/26/2010",9.4,2010-04-16
"2/22/2013",8.3,2012-11-25
"2/23/2013",10,2012-11-26
"2/24/2013",11,2012-11-27
"2/25/2013",8.9,2012-11-28
